org_code,sub_icb_name,region_name,risk_tier,specialty,referrals,bookings,appointment_slot_issues,positive_demand_gap,avg_monthly_absorption,absorption_volatility,avg_asi_rate,max_asi_rate,asi_persistence,active_months,booking_absorption_rate,absorption_weakness,asi_rate_per_10000,latest_3m_absorption,previous_3m_absorption,absorption_trend_3m,cluster_id,cluster_label
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,2WW,19949,17918,301,2031,0.8981671262296297,0.030330483467010956,151.9847578432772,237.26448011165388,0.0,12,0.8981903854829816,0.10180961451701842,150.88475612812672,0.8767910653596743,0.8834781875500716,-0.006687122190397243,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Cardiology,2077,1817,725,269,0.871587756482424,0.10646660319802315,3469.0381312347604,4939.759036144578,1.0,8,0.8748194511314396,0.12518054886856045,3490.6114588348582,0.8974764810721186,0.8044653054081934,0.09301117566392525,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Children's & Adolescent Services,2600,2516,665,172,0.9674669687880808,0.12479024560906227,2563.5021071674832,2911.764705882353,1.0,6,0.9676923076923077,0.03230769230769226,2557.6923076923076,0.7933403561491787,0.8947054817841336,-0.10136512563495481,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Dermatology,4039,3026,59,1024,0.755584948872761,0.18737663388652298,148.79242395109478,249.22118380062304,0.0,12,0.7491953453825204,0.2508046546174796,146.07576132706114,0.7206081089115349,0.79210690316972,-0.07149879425818506,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Diabetic Medicine,1089,571,131,518,0.5261000404506875,0.10390150388928894,1233.157635252056,1847.8260869565215,1.0,12,0.5243342516069789,0.4756657483930211,1202.9384756657485,0.5081263922118637,0.6150852636359883,-0.10695887142412452,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,"Ear, Nose & Throat",7241,7312,85,1457,1.0162561568386899,0.7062086976311996,116.07461354823327,217.0767004341534,0.0,12,1.0098052755144318,-0.009805275514431777,117.38710122911199,0.9202169304016664,1.7879560299995008,-0.8677390995978344,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Neurology,1395,1204,10,191,0.8676577199431224,0.055143387931492684,72.8386789491468,232.5581395348837,0.0,12,0.8630824372759857,0.13691756272401434,71.68458781362007,0.8734949217628482,0.8449096545158673,0.02858526724698085,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Monitor,Ophthalmology,8242,7377,88,935,0.9049143866158597,0.10777174554321506,110.76792540942768,167.50418760469012,0.0,12,0.8950497452074739,0.10495025479252607,106.77020140742538,0.8251375582040142,0.9970993037059955,-0.1719617455019813,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Children's & Adolescent Services,3085,2234,878,851,0.7223650069217001,0.058661854523195736,2846.9786310064005,3067.4846625766872,1.0,6,0.7241491085899514,0.2758508914100486,2846.029173419773,0.7933403561491787,0.8947054817841336,-0.10136512563495481,1,Volatile access pattern
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,GI and Liver (Medicine and Surgery),5216,2510,3659,2706,0.4875524464328432,0.08086289194148195,7064.597326246615,8049.45054945055,1.0,12,0.4812116564417178,0.5187883435582822,7014.953987730061,0.45632153319108065,0.4909358670090909,-0.03461433381801027,3,True no-slot bottleneck
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Gynaecology,4026,2629,3661,1397,0.6580435170668298,0.11865255534523933,9181.398800688963,14038.929440389295,1.0,10,0.6530054644808743,0.34699453551912574,9093.392945851963,0.8703407750656517,0.6092371868449123,0.2611035882207393,3,True no-slot bottleneck
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Orthopaedics,10993,498,210,10495,0.045361144151852634,0.015108332843561867,191.4048018909027,408.65384615384613,0.0,12,0.04530155553534067,0.9546984444646593,191.0306558719185,0.04347203680867893,0.058105537929169115,-0.014633501120490187,0,High-volume conversion deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Physiotherapy,4513,0,8,4513,0.0,0.0,18.570102135561743,222.84122562674094,0.0,12,0.0,1.0,17.726567693330377,0.0,0.0,0.0,0,High-volume conversion deficit
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Respiratory Medicine,2667,1195,594,1472,0.4491489577370969,0.04575587085787139,2184.765886166843,3466.666666666667,1.0,11,0.448068991376078,0.551931008623922,2227.2215973003376,0.4748524261467209,0.4818107070799011,-0.006958280933180183,3,True no-slot bottleneck
00L,NHS North East and North Cumbria ICB - 00L,North East and Yorkshire,Review,Rheumatology,1380,997,883,383,0.7187597916749168,0.14075030847664033,6360.035410853203,7525.773195876289,1.0,8,0.722463768115942,0.27753623188405796,6398.550724637682,1.0987532514342933,0.9300572237387524,0.16869602769554082,1,Volatile access pattern
